date,open_USD,high_USD,low_USD,close_USD,volume
04-05-2020,8894.15,8950,8522,8871.96,84418
03-05-2020,8972.58,9200,8712,8894.16,90126
02-05-2020,8825.67,9010,8753,8972.05,59002
01-05-2020,8620,9059.18,8613.56,8826.96,91468
30-04-2020,8778.58,9460,8401,8620,206277
29-04-2020,7738.58,8952.89,7710.05,8778.57,183546
28-04-2020,7773.51,7780,7659.12,7738.98,46302
27-04-2020,7693.1,7792.02,7606,7774.62,65441
26-04-2020,7539.03,7700,7480,7693.1,50522
25-04-2020,7505,7705,7431.07,7538.67,43874
24-04-2020,7483.96,7615.96,7388,7505,60182
23-04-2020,7125.12,7738,7020,7482.39,102773
22-04-2020,6841.36,7156.38,6818,7125.14,61486
21-04-2020,6828.98,6940,6762,6841.37,60109
20-04-2020,7121.4,7220,6751,6826.83,90149
19-04-2020,7248.6,7266.15,7055.6,7120.74,45664
18-04-2020,7026.78,7293.08,7014.4,7248.6,49488
17-04-2020,7101.99,7148.12,6972.98,7027.55,54126
16-04-2020,6621.25,7190,6468.27,7101.94,125009
15-04-2020,6868.57,6933,6605,6621.24,61571
14-04-2020,6838.04,6978,6754.28,6868.7,69068
13-04-2020,6903.79,6903.79,6575,6837.91,96415
12-04-2020,6876.84,7177,6780,6903.79,73868
11-04-2020,6858.92,6944.3,6760,6876.83,45470
10-04-2020,7283.54,7295.75,6739.98,6858.92,104674
09-04-2020,7360.26,7371.92,7108.08,7283.54,61094
08-04-2020,7197.32,7420,7150,7361.28,76059
07-04-2020,7329.9,7459.69,7077,7197.32,103585
06-04-2020,6772.78,7355.14,6765,7329.9,118052
05-04-2020,6857.41,6895.54,6677.52,6772.78,49685
04-04-2020,6732.97,6990.41,6650.01,6856.99,72990
03-04-2020,6793.86,7048,6602.1,6734.1,104080
02-04-2020,6643.36,7198,6551,6794.09,149299
01-04-2020,6412.14,6679.94,6150.11,6642.92,97500
31-03-2020,6394.45,6523.23,6321.4,6410.44,72337
30-03-2020,5880.5,6599,5857.76,6394.38,118889
29-03-2020,6236.65,6266,5866.56,5881.42,63311
28-03-2020,6359.11,6360,6024,6236.65,93159
27-03-2020,6737.27,6842.59,6261,6359.11,82914
26-03-2020,6677.42,6780,6510,6737.36,83026
25-03-2020,6744.69,6957.96,6450,6677.43,132155
24-03-2020,6465.25,6833,6371.33,6744.72,151138
23-03-2020,5816.05,6600,5688,6467.31,164674
22-03-2020,6187.04,6407.87,5734.01,5816.19,119115
21-03-2020,6204.57,6456.98,5860.02,6186.98,128913
20-03-2020,6162.05,6900,5670,6208.36,219298
19-03-2020,5393.26,6400,5252.53,6162.37,199020
18-03-2020,5312.64,5436.17,5009.37,5393.04,137127
17-03-2020,5028.86,5525,4921.45,5312.64,150089
16-03-2020,5360.33,5365.42,4442.12,5028.97,227276
15-03-2020,5172.48,5940,5093.1,5361.3,139916
14-03-2020,5576.05,5640.52,5055.13,5172.06,136910
13-03-2020,4800.01,5955,3782.13,5578.6,402201
12-03-2020,7934.58,7966.17,4410,4800,261505
11-03-2020,7894.57,7980,7590,7934.52,79942
10-03-2020,7929.87,8149,7728.01,7894.56,86783
09-03-2020,8034.76,8179.31,7632.01,7929.87,116968
08-03-2020,8885.25,8886.76,8000,8033.31,77537
07-03-2020,9130.89,9188,8835,8886.66,45422
06-03-2020,9054.64,9170,8985.5,9131.88,43782
05-03-2020,8750.99,9159.42,8746.54,9054.68,58201
04-03-2020,8760.07,8848.29,8660,8750.87,38696
03-03-2020,8911.18,8919.65,8651,8760.07,55154
02-03-2020,8530.3,8965.75,8498,8915.24,60401
01-03-2020,8523.61,8750,8411,8531.88,43892
29-02-2020,8690.8,8790,8523.55,8523.61,36748
28-02-2020,8823.25,8900,8445,8692.91,71155
27-02-2020,8786,8971.77,8531,8823.21,72483
26-02-2020,9316.48,9377.44,8633.63,8785.25,92130
25-02-2020,9655.52,9675,9250,9315.84,54379
24-02-2020,9936.4,9990,9473.56,9656.13,55796
23-02-2020,9650.85,9990,9645,9936.4,37702
22-02-2020,9677.05,9709.17,9560.02,9650.86,24636
21-02-2020,9597.21,9755.51,9550.21,9677.05,42181
20-02-2020,9594.65,9699,9400,9596.42,60152
19-02-2020,10164.78,10250,9350,9593.79,55162
18-02-2020,9706,10250,9576.01,10164.71,70604
17-02-2020,9910.7,9964.16,9452.67,9706,70261
16-02-2020,9904.46,10050,9638.12,9917.27,60023
15-02-2020,10344.36,10375,9801,9904.72,57657
14-02-2020,10227.78,10381.56,10111.37,10344.36,47038
13-02-2020,10325.33,10500,10080,10229.63,79344
12-02-2020,10223.08,10450,10223.08,10326.46,61008
11-02-2020,9851.74,10323.59,9700,10223.08,62422
10-02-2020,10151.72,10188,9756,9851.83,59573
09-02-2020,9895.04,10166,9880.75,10151.75,43408
08-02-2020,9813.87,9940,9667.11,9895.05,43600
07-02-2020,9772,9885,9730,9813.73,43966
06-02-2020,9612.03,9862.57,9526.35,9772,64949
05-02-2020,9197.02,9744.45,9177.22,9612.04,64870
04-02-2020,9291.35,9350,9093.01,9197.02,53308
03-02-2020,9331.59,9618.79,9234,9292.24,50892
02-02-2020,9384.41,9477.03,9120,9331.51,45690
01-02-2020,9351.71,9464.53,9281,9384.61,28578
31-01-2020,9511.52,9530.22,9210.01,9352.89,45552
30-01-2020,9301.57,9578,9204.44,9513.21,60626
29-01-2020,9375.34,9449.24,9216,9301.53,53864
28-01-2020,8907.57,9400,8862.4,9374.21,74584
27-01-2020,8614.39,9000,8535,8907.57,53973
26-01-2020,8340.01,8618.13,8293.66,8615,31130
25-01-2020,8438.99,8451.26,8254.9,8340.58,25521
24-01-2020,8404.52,8528.02,8238,8439,41687
23-01-2020,8682.77,8691.81,8306.39,8404.52,48165
22-01-2020,8736.04,8818,8590,8682.36,29080
21-01-2020,8642.35,8789,8488,8736.03,36494
20-01-2020,8701.72,8746.99,8521.28,8642.35,38896
19-01-2020,8915.09,9198.98,8466,8701.7,70676
18-01-2020,8913.27,8988.88,8806.38,8915.96,38294
17-01-2020,8720.15,9041.65,8672.44,8913.28,70897
16-01-2020,8820.01,8859.81,8586,8720.01,51991
15-01-2020,8814.64,8916.48,8564,8821.41,84816
14-01-2020,8110.34,8880,8105.54,8810.01,120399
13-01-2020,8184.97,8196,8055.89,8110.34,31159
12-01-2020,8020.01,8197,7960,8184.98,38131
11-01-2020,8198.86,8286.34,8003.16,8020.01,54810
10-01-2020,7817.74,8199,7672,8197.02,82406
09-01-2020,8054.72,8055.96,7750,7817.76,64239
08-01-2020,8145.92,8455,7870,8055.98,112622
07-01-2020,7758.9,8207.68,7723.71,8145.28,91171
06-01-2020,7357.64,7795.34,7346.76,7758,54635
05-01-2020,7354.19,7495,7318,7358.75,38331
04-01-2020,7345,7404,7272.21,7354.11,29987
03-01-2020,6965.49,7405,6871.04,7344.96,68428
02-01-2020,7200.77,7212.5,6924.74,6965.71,31951
01-01-2020,7195.24,7255,7175.15,7200.85,16792
31-12-2019,7246,7320,7145.01,7195.23,25954
30-12-2019,7388.43,7408.24,7220,7246,29605
29-12-2019,7315.36,7528.45,7288,7388.24,31387
28-12-2019,7254.77,7365.01,7238.67,7316.14,26848
27-12-2019,7202,7275.86,7076.42,7254.74,33642
26-12-2019,7205.01,7435,7157.12,7202,36259
25-12-2019,7255.77,7271.77,7128.86,7204.63,27492
24-12-2019,7317.3,7436.68,7157.04,7255.77,43629
23-12-2019,7500.71,7695.38,7265.84,7317.09,68051
22-12-2019,7131.59,7518.54,7122.47,7501.44,39137
21-12-2019,7188.01,7190.58,7105,7132.75,19467
20-12-2019,7151.31,7220,7079.5,7187.83,32132
19-12-2019,7277.83,7380,7038.31,7150.3,55509
18-12-2019,6623.84,7440,6435,7277.83,95636
17-12-2019,6891.44,6942.21,6560,6623.82,53865
16-12-2019,7119.6,7150,6836,6891.72,43863
15-12-2019,7064.14,7200.3,7008.35,7118.59,26395
14-12-2019,7257.37,7271.77,7012,7064.05,29561
13-12-2019,7197.76,7309.05,7190.76,7258.48,27609
12-12-2019,7210,7295,7080.3,7198.08,42288
11-12-2019,7224.15,7275.5,7125.66,7210,30093
10-12-2019,7338.64,7407.6,7157.1,7224.13,49723
09-12-2019,7510.11,7650,7273,7338.64,46621
08-12-2019,7487.31,7564,7374.86,7510.11,29856
07-12-2019,7527.8,7619.62,7470.16,7488.21,31498
06-12-2019,7389,7590.03,7305,7527.47,48189
05-12-2019,7194.59,7485,7150,7389,59306
04-12-2019,7292.71,7750,7067,7194.32,83147
03-12-2019,7294.42,7400,7241.35,7292.71,33149
02-12-2019,7391.5,7420.56,7151.1,7294.28,46330
01-12-2019,7540.63,7541.85,7210,7390.89,60769
30-11-2019,7740.99,7810,7441,7541.89,46989
29-11-2019,7418.52,7850,7362.3,7739.68,60745
28-11-2019,7507.9,7643,7360,7419.49,56933
27-11-2019,7154.75,7655,6840,7508.52,92452
26-11-2019,7109.99,7340,7017.48,7156.14,65722
25-11-2019,6900.23,7377.69,6515,7109.57,119645
24-11-2019,7311.1,7330.39,6861,6903.28,67890
23-11-2019,7268.23,7344.48,7080.01,7311.57,50449
22-11-2019,7627.79,7750,6790,7268.23,126603
21-11-2019,8098.56,8134.73,7500,7627.74,58418
20-11-2019,8133.83,8264.29,8038.4,8098.01,32466
19-11-2019,8186.5,8218.63,8003,8133.64,43556
18-11-2019,8502.87,8503.52,8060,8187.17,43017
17-11-2019,8490.74,8635,8350.68,8502.4,27009
16-11-2019,8471.62,8543,8400,8491.02,20902
15-11-2019,8646.38,8790,8400,8471.73,46087
14-11-2019,8777.54,8800,8582.6,8646.68,33468
13-11-2019,8821.91,8844.99,8702,8777.12,26810
12-11-2019,8733.36,8888,8567.6,8821.94,40366
11-11-2019,9040.16,9072.32,8618.68,8733.27,44888
10-11-2019,8809.18,9147.19,8750,9039.47,34422
09-11-2019,8773.74,8880,8724.88,8809.41,29469
08-11-2019,9214,9261,8696,8773.73,62107
07-11-2019,9339.16,9375,9101,9216.2,39117
06-11-2019,9307.73,9440.91,9250.01,9339.05,37336
05-11-2019,9392.4,9454.95,9175.76,9308.66,45935
04-11-2019,9196.46,9513.68,9115.84,9393.35,45894
03-11-2019,9289.85,9362.57,9066.14,9194.71,27894
02-11-2019,9231.4,9373.74,9186.21,9289.52,28923
01-11-2019,9140.86,9279,9030,9231.61,43594
31-10-2019,9154.02,9405,8913,9140.85,54376
